6/19/13,BOS,SCF,"CHI 6, BOS 5",Brent Seabrook,9:51,CHI
6/15/13,CHI,SCF,"BOS 2, CHI 1",Daniel Paille,13:48,CHI
6/12/13,CHI,SCF,"CHI 4, BOS 3",Andrew Shaw,52:08:00,CHI
6/8/13,CHI,CF,"CHI 4, LA 3",Patrick Kane,31:40:00,CHI
6/5/13,BOS,CF,"BOS 2, PIT 1",Patrice Bergeron,35:19:00,BOS
5/29/13,CHI,CSF,"CHI 2, DET 1",Brent Seabrook,3:35,CHI
5/23/13,NYR,CSF,"NYR 4, BOS 3",Chris Kreider,7:03,BOS
5/19/13,OTT,CSF,"OTT 2, PIT 1",Colin Greening,32:21:00,PIT
5/18/13,SJ,CSF,"SJ 2, LA 1",Logan Couture,1:29,LA
5/16/13,BOS,CSF,"BOS 3, NYR 2",Brad Marchand,15:40,BOS
5/13/13,BOS,CQF,"BOS 5, TOR 4",Patrice Bergeron,6:05,BOS
5/11/13,NYI,CQF,"PIT 4, NYI 3",Brooks Orpik,7:49,PIT
5/10/13,WAS,CQF,"NYR 1, WAS 2",Mike Ribeiro,9:24,NYR
5/10/13,DET,CQF,"ANA 3, DET 4",Henrik Zetterberg,1:04,DET
5/8/13,ANA,CQF,"ANA 3, DET 2",Nick Bonino,1:54,DET
5/8/13,STL,CQF,"LA 3, STL 2",Slava Voynov,8:00,LA
5/8/13,TOR,CQF,"BOS 4, TOR 3",David Krejci,13:06,BOS
5/7/13,SJ,CQF,"SJ 4, VAN 3",Patrick Marleau,13:18,SJ
5/7/13,OTT,CQF,"OTT 3, MTL 2",Kyle Turris,2:32,OTT
5/6/13,DET,CQF,"DET 3, ANA 2",Damien Brunner,15:10,DET
5/5/13,MIN,CQF,"MIN 3, CHI 2",Jason Zucker,2:15,CHI
5/5/13,NYI,CQF,"PIT 5, NYI 4",Chris Kunitz,8:44,PIT
5/4/13,WAS,CQF,"WAS 1, NYR 0",Mike Green,8:00,NYR
5/3/13,VAN,CQF,"SJ 3, VAN 2",Raffi Torres,5:31,SJ
5/2/13,ANA,CQF,"DET 5, ANA 4",Gustav Nyquist,1:21,DET
4/30/13,CHI,CQF,"CHI 2, MIN 1",Bryan Bickell,16:35,CHI
4/30/13,STL,CQF,"STL 2, LA 1",Alex Steen,13:26,LA
6/2/12,NJ,SCF,"LA 2, NJ 1",Jeff Carter,13:42,LA
5/30/12,NJ,SCF,"LA 2, NJ 1",Anze Kopitar,8:13,LA
5/25/12,NJ,CF,"NJ 3, NYR 2",Adam Henrique,1:03,NJ
5/22/12,PHX,CF,"LA 4, PHX 3",Dustin Penner,17:42,LA
5/3/12,NJ,CSF,"PHI 3, NJ 4",Alexei Ponikarovsky,17:21,NJ
5/2/12,WSH,CSF,"NYR 2, WSH 1",Marian Gaborik,54:41:00,NYR
4/29/12,PHI,CSF,"PHI 4, NJ 3",Danny Briere,4:36,NJ
4/27/12,PHX,CSF,"PHX 4, NSH 3",Ray Whitney,14:04,PHX
4/26/12,FLA,CQF,NJ 3 FLA 2,Adam Henrique,23:47,NJ
4/25/12,BOS,CQF,WAS 2 BOS 1,Joel Ward,2:57,WAS
4/24/12,NJ,CQF,NJ 3 FLA 2,Travis Zajac,5:39,NJ
4/22/12,VAN,CQF,"LA 2,VAN 1",Jarret Stoll,4:27,LA
4/22/12,WSH,CQF,"BOS 4, WSH 3",Tyler Seguin,3:17,WAS
4/21/12,PHX,CQF,"CHI 3, PHX 2",Jonathan Toews,2:44,PHX
4/19/12,CHI,CQF,"PHX 3, CHI 2",Mikkel Boedker,2:15,PHX
4/18/12,OTT,CQF,"OTT 3, NYR 2",Kyle Turris,2:42,NYR
4/17/12,PHX,CQF,"PHX 3, CHI 2",Mikkel Boedker,13:15,PHX
4/14/12,PHX,CQF,"CHI 4, PHX 3",Bryan Bickell,10:36,PHX
4/14/12,NYR,CQF,"OTT 3, NYR 2",Chris Neil,1:17,NYR
4/14/12,BOS,CQF,"WSH 2, BOS 1",Nicklas Backstrom,22:56,WAS
4/12/12,PHX,CQF,"PHX 3, CHI 2",Martin Hanzal,9:29,PHX
4/12/12,STL,CQF,"SJ 3, STL 2",Martin Havlat,23:34,STL
4/12/12,BOS,CQF,"BOS 1, WSH 0",Chris Kelly,1:18,WAS
4/11/12,PIT,CQF,"PHI 4, PIT 3",Jakub Voracek,2:23,PHI
6/4/11,VAN,SCF,"VAN 3, BOS 2",Alex Burrows,0:11,BOS
